PEJVOにあってvortaro.tsvにない語根: 2730個

語根リスト(例単語付き):
a-vort	# PEJVO例: a-vort/o
proletari	# PEJVO例: proletari/o
propan	# PEJVO例: propan/gas/o
propedeu^tik	# PEJVO例: propedeu^tik/a
proskripci	# PEJVO例: proskripci/o
protokanajl	# PEJVO例: protokanajl/o
provincialism	# PEJVO例: provincialism/o
pseu^d	# PEJVO例: pseu^d/a
pseu^do	# PEJVO例: pseu^do/nom/o
pseu^do-	# PEJVO例: pseu^do-
pseu^donim	# PEJVO例: pseu^donim/o
pseŭdo	# PEJVO例: pseŭdo/cug/o
pseŭdonim	# PEJVO例: pseŭdonim/a
psikrometr	# PEJVO例: psikrometr/o
pteridi	# PEJVO例: pteridi/o
ptm.	# PEJVO例: ptm.
pu!	# PEJVO例: pu!
puaz	# PEJVO例: puaz/o
puc^	# PEJVO例: puc^/o
pulc^inel	# PEJVO例: pulc^inel/lud/o
punc^	# PEJVO例: punc^/o
pure	# PEJVO例: pure/o
pus^	# PEJVO例: pus^/ad/o
puŝ	# PEJVO例: puŝ/a
racionalism	# PEJVO例: racionalism/o
racionalist	# PEJVO例: racionalist/o
radial	# PEJVO例: radial/a
radiator	# PEJVO例: radiator/o
radio	# PEJVO例: radio/fot/o/grafi/o
radioaktiv	# PEJVO例: radioaktiv/a
radiograf	# PEJVO例: radiograf/ad/o
radiometr	# PEJVO例: radiometr/o
radioterapi	# PEJVO例: radioterapi/o
rag^	# PEJVO例: rag^/o
raj^a	# PEJVO例: raj^a/o
ramadan	# PEJVO例: ramadan/o
raned	# PEJVO例: raned/oj
ranunkolac	# PEJVO例: ranunkolac/oj
rapidometr	# PEJVO例: rapidometr/o
ratif	# PEJVO例: ratif/i
rau^k	# PEJVO例: rau^k/a
rau^nd	# PEJVO例: rau^nd/o
rau^p	# PEJVO例: rau^p/o
raŭp	# PEJVO例: raŭp/er/o
re-	# PEJVO例: re-
reaktanc	# PEJVO例: reaktanc/o
red.	# PEJVO例: red.
refleksologi	# PEJVO例: refleksologi/o
reformaci	# PEJVO例: reformaci/a mov/ad/o
reformator	# PEJVO例: reformator/o
refraktometr	# PEJVO例: refraktometr/o
reg^	# PEJVO例: reg^/a
reg^im	# PEJVO例: reg^im/klav/o
reg^isor	# PEJVO例: reg^isor/ad/o
regeneraci	# PEJVO例: regeneraci/o
regulator	# PEJVO例: regulator/o
rektif	# PEJVO例: rektif/i
rektumo	# PEJVO例: rektumo/skop/i/o
relaj	# PEJVO例: relaj/o
reluktanc	# PEJVO例: reluktanc/o
remanenc	# PEJVO例: remanenc/o
remi	# PEJVO例: remi/o
renesanc	# PEJVO例: renesanc/a
renga	# PEJVO例: renga/o
rentgen	# PEJVO例: rentgen/o
reologi	# PEJVO例: reologi/o
reporter	# PEJVO例: reporter/aj^/o
resolviv	# PEJVO例: resolviv/o
resonator	# PEJVO例: resonator/o
restau^r	# PEJVO例: restau^r/a fort/o
restaŭr	# PEJVO例: restaŭr/ad/o
resurekt	# PEJVO例: resurekt/i
resurs	# PEJVO例: resurs/o
retro-	# PEJVO例: retro-
retuŝ	# PEJVO例: retuŝ/o
reu^matism	# PEJVO例: reu^matism/o
reviz	# PEJVO例: reviz/i
reĝ	# PEJVO例: reĝ/e
ric^	# PEJVO例: ric^/a
riel	# PEJVO例: riel/o
rifug^	# PEJVO例: rifug^/ad/o
rikis^	# PEJVO例: rikis^/o
rikord	# PEJVO例: rikord/o
rilaks	# PEJVO例: rilaks/o
rim.	# PEJVO例: rim.
ringit	# PEJVO例: ringit/o
riproc^	# PEJVO例: riproc^/a
riĉ	# PEJVO例: riĉ/eg/a
rjo	# PEJVO例: rjo/o
ro	# PEJVO例: ro
rojalism	# PEJVO例: rojalism/o
rojalist	# PEJVO例: rojalist/o
rom	# PEJVO例: rom/a
roma	# PEJVO例: roma/a lingv/o
romanc^	# PEJVO例: romanc^/a lingv/o
romanĉ	# PEJVO例: romanĉ/a
romi	# PEJVO例: romi/a kod/o
rong^	# PEJVO例: rong^/i
ronĝ	# PEJVO例: ronĝ/ul/oj
rosin	# PEJVO例: rosin/o
rostbef	# PEJVO例: rostbef/o
rotari	# PEJVO例: rotari/an/o
rotator	# PEJVO例: rotator/o
ruditap	# PEJVO例: ruditap/o
rug^	# PEJVO例: rug^/a
rur	# PEJVO例: rur/o
rus^	# PEJVO例: rus^/o
ruten	# PEJVO例: ruten/o
ruĝ	# PEJVO例: ruĝ/aĵ/o
s-ano	# PEJVO例: s-ano
s-ino	# PEJVO例: s-ino
s-ro	# PEJVO例: s-ro
s.c.e.	# PEJVO例: s.c.e.
s^ablon	# PEJVO例: s^ablon/a
s^af	# PEJVO例: s^af/aj^/o
s^aft	# PEJVO例: s^aft/o
s^agrin	# PEJVO例: s^agrin/a
s^ah	# PEJVO例: s^ah/o
s^ajn	# PEJVO例: s^ajn/a
s^ak	# PEJVO例: s^ak/a
s^akal	# PEJVO例: s^akal/o
s^akr	# PEJVO例: s^akr/ad/o
s^akt	# PEJVO例: s^akt/o
s^al	# PEJVO例: s^al/et/o
s^alm	# PEJVO例: s^alm/o
s^alot	# PEJVO例: s^alot/o
s^alt	# PEJVO例: s^alt/i
s^alup	# PEJVO例: s^alup/o
s^am	# PEJVO例: s^am/o
s^aman	# PEJVO例: s^aman/ism/o
s^ampu	# PEJVO例: s^ampu/i
s^anc	# PEJVO例: s^anc/a
s^ancel	# PEJVO例: s^ancel/i
s^anel	# PEJVO例: s^anel/o
s^ang^	# PEJVO例: s^ang^/a
s^ankr	# PEJVO例: s^ankr/o
s^arad	# PEJVO例: s^arad/o
s^arg	# PEJVO例: s^arg/ad/o
s^arg^	# PEJVO例: s^arg^/a
s^arganc	# PEJVO例: s^arganc/o
s^arif	# PEJVO例: s^arif/o
s^ark	# PEJVO例: s^ark/o
s^at	# PEJVO例: s^at/at/a
s^au^m	# PEJVO例: s^au^m/a
s^au^r	# PEJVO例: s^au^r/o
s^ejk	# PEJVO例: s^ejk/o
s^el	# PEJVO例: s^el/aj^/o
s^elak	# PEJVO例: s^elak/o
s^elk	# PEJVO例: s^elk/eg/o
s^enopraz	# PEJVO例: s^enopraz/o
s^erc	# PEJVO例: s^erc/a
s^ere	# PEJVO例: s^ere/o
s^erif	# PEJVO例: s^erif/o
s^erp	# PEJVO例: s^erp/o
s^i	# PEJVO例: s^i
s^ijaism	# PEJVO例: s^ijaism/o
s^ijaist	# PEJVO例: s^ijaist/o
s^ik	# PEJVO例: s^ik/a
s^il	# PEJVO例: s^il/o
s^ild	# PEJVO例: s^ild/et/o
s^iling	# PEJVO例: s^iling/o
s^im	# PEJVO例: s^im/a
s^ind	# PEJVO例: s^ind/o
s^ink	# PEJVO例: s^ink/a sandvic^/o
s^into	# PEJVO例: s^into/a pastr/o
s^ip	# PEJVO例: s^ip/a
s^ir	# PEJVO例: s^ir/aj^/o
s^irm	# PEJVO例: s^irm/ad/o
s^itak	# PEJVO例: s^itak/o
s^kot	# PEJVO例: s^kot/o
s^lak	# PEJVO例: s^lak/o
s^lif	# PEJVO例: s^lif/i
s^lim	# PEJVO例: s^lim/a
s^los	# PEJVO例: s^los/ad/o
s^mac	# PEJVO例: s^mac/ad/o
s^mac'	# PEJVO例: s^mac'
s^mink	# PEJVO例: s^mink/ad/o
s^mir	# PEJVO例: s^mir/ad/o
s^nur	# PEJVO例: s^nur/arm/i
s^o	# PEJVO例: s^o
s^ofor	# PEJVO例: s^ofor/i
s^ok	# PEJVO例: s^ok/a
s^orbet	# PEJVO例: s^orbet/o
s^os	# PEJVO例: s^os/i
s^ose	# PEJVO例: s^ose/o
s^ot	# PEJVO例: s^ot/i
s^ov	# PEJVO例: s^ov/ebl/a
s^ovel	# PEJVO例: s^ovel/i
s^ovinism	# PEJVO例: s^ovinism/a
s^ovinist	# PEJVO例: s^ovinist/o
s^pal	# PEJVO例: s^pal/bolt/o
s^par	# PEJVO例: s^par/ad/o
s^pat	# PEJVO例: s^pat/i
s^pin	# PEJVO例: s^pin/ad/o
s^pruc	# PEJVO例: s^pruc/ad/o
s^pruc'	# PEJVO例: s^pruc'
s^pur	# PEJVO例: s^pur/o
s^rank	# PEJVO例: s^rank/o
s^rapnel	# PEJVO例: s^rapnel/o
s^rau^b	# PEJVO例: s^rau^b/aj^/o
s^rump	# PEJVO例: s^rump/i
s^s^	# PEJVO例: s^s^
s^tal	# PEJVO例: s^tal/a
s^tat	# PEJVO例: s^tat/a
s^tel	# PEJVO例: s^tel/ad/o
s^tip	# PEJVO例: s^tip/ar/o
s^tof	# PEJVO例: s^tof/o
s^ton	# PEJVO例: s^ton/a
s^top	# PEJVO例: s^top/aj^/o
s^torm	# PEJVO例: s^torm/a
s^trump	# PEJVO例: s^trump/et/o
s^tup	# PEJVO例: s^tup/a
s^u	# PEJVO例: s^u/bros/o
s^uld	# PEJVO例: s^uld/ant/a
s^ultr	# PEJVO例: s^ultr/a
s^unt	# PEJVO例: s^unt/i
s^ut	# PEJVO例: s^ut/ad/o
s^utr	# PEJVO例: s^utr/o
s^vab	# PEJVO例: s^vab/o
s^vabr	# PEJVO例: s^vabr/i
s^veb	# PEJVO例: s^veb/ad/o
s^vel	# PEJVO例: s^vel/aj^/o
s^vit	# PEJVO例: s^vit/a
saben	# PEJVO例: saben/o
sad	# PEJVO例: sad/ism/o
saduke	# PEJVO例: saduke/ism/o
sag^	# PEJVO例: sag^/a
sakaroz	# PEJVO例: sakaroz/o
sakur	# PEJVO例: sakur/o
same	# PEJVO例: same/o
sandvic^	# PEJVO例: sandvic^/o
sandviĉ	# PEJVO例: sandviĉ/ej/o
sansimon	# PEJVO例: sansimon/ism/o
sapor	# PEJVO例: sapor/i
sarmat	# PEJVO例: sarmat/o
sars	# PEJVO例: sars/o
satan	# PEJVO例: satan/a
satrapi	# PEJVO例: satrapi/o
saturn	# PEJVO例: saturn/ism/o
saturnali	# PEJVO例: saturnali/oj
sau^c	# PEJVO例: sau^c/aj^/o
sau^rkrau^t	# PEJVO例: sau^rkrau^t/o
savart	# PEJVO例: savart/o
sazank	# PEJVO例: sazank/o
saŭdad	# PEJVO例: saŭdad/o
saŭn	# PEJVO例: saŭn/o
saŭr	# PEJVO例: saŭr/o
scintil	# PEJVO例: scintil/ad/o
scit	# PEJVO例: scit/o
se ne	# PEJVO例: se ne
se neces	# PEJVO例: se neces/e
seg^	# PEJVO例: seg^/et/o
sejm	# PEJVO例: sejm/mars^al/o
sekulariz	# PEJVO例: sekulariz/i
sekvestraci	# PEJVO例: sekvestraci/i
sekvoj	# PEJVO例: sekvoj/o
senrju	# PEJVO例: senrju/o
sensac	# PEJVO例: sensac/o
sensualism	# PEJVO例: sensualism/o
sep mil	# PEJVO例: sep mil
serc^	# PEJVO例: serc^/ad/o
serg^	# PEJVO例: serg^/o
serg^ent	# PEJVO例: serg^ent/o
seriol	# PEJVO例: seriol/o
ses mil	# PEJVO例: ses mil
sest	# PEJVO例: sest/o
setari	# PEJVO例: setari/o
sferometr	# PEJVO例: sferometr/o
siberi	# PEJVO例: siberi/an/o
siderurgi	# PEJVO例: siderurgi/o
sieg^	# PEJVO例: sieg^/a
silikoz	# PEJVO例: silikoz/o
siluri	# PEJVO例: siluri/o
simens	# PEJVO例: simens/o
singulet	# PEJVO例: singulet/o
sinkrociklotron	# PEJVO例: sinkrociklotron/o
sionism	# PEJVO例: sionism/o
sirfed	# PEJVO例: sirfed/oj
siri	# PEJVO例: siri/a
sisirinki	# PEJVO例: sisirinki/o
sismologi	# PEJVO例: sismologi/o
siu	# PEJVO例: siu/o
sivert	# PEJVO例: sivert/o
skadron	# PEJVO例: skadron/o
skafark	# PEJVO例: skafark/o
skandinav	# PEJVO例: skandinav/o
skapolalgi	# PEJVO例: skapolalgi/o
skarif	# PEJVO例: skarif/i
skarol	# PEJVO例: skarol/o
skec^	# PEJVO例: skec^/o
ski-semajn	# PEJVO例: ski-semajn/o
skip	# PEJVO例: skip/estr/o
skit	# PEJVO例: skit/o
skleroz	# PEJVO例: skleroz/o
skrabl	# PEJVO例: skrabl/o
skurg^	# PEJVO例: skurg^/i
so	# PEJVO例: so
societ	# PEJVO例: societ/a
sodom	# PEJVO例: sodom/ism/o
softbal	# PEJVO例: softbal/o
sol-	# PEJVO例: sol-
solanac	# PEJVO例: solanac/oj
solfeĝ	# PEJVO例: solfeĝ/i
solidag	# PEJVO例: solidag/o
song^	# PEJVO例: song^/a
sonmetr	# PEJVO例: sonmetr/o
sorc^	# PEJVO例: sorc^/a
soroban	# PEJVO例: soroban/o
sorĉ	# PEJVO例: sorĉ/ad/o
sovag^	# PEJVO例: sovag^/a
sovag^-	# PEJVO例: sovag^-
soveti	# PEJVO例: soveti/a
spam	# PEJVO例: spam/ist/o
sparadrap	# PEJVO例: sparadrap/o
specifik	# PEJVO例: specifik/i
spektator	# PEJVO例: spektator/o
spektrograf	# PEJVO例: spektrograf/o
spektrogram	# PEJVO例: spektrogram/o
spektrometr	# PEJVO例: spektrometr/o
spektrometri	# PEJVO例: spektrometri/o
spermatozo	# PEJVO例: spermatozo/o
spinor	# PEJVO例: spinor/o
spinoz	# PEJVO例: spinoz/ism/o
spirant	# PEJVO例: spirant/o
spiritism	# PEJVO例: spiritism/a
spiritist	# PEJVO例: spiritist/o
spiritualism	# PEJVO例: spiritualism/o
spiritualist	# PEJVO例: spiritualist/o
spirogir	# PEJVO例: spirogir/o
sponsor	# PEJVO例: sponsor/ad/o
spontane	# PEJVO例: spontane/a
stabila ekvilibr	# PEJVO例: stabila ekvilibr/o
stadium	# PEJVO例: stadium/o
stag^	# PEJVO例: stag^/o
stam	# PEJVO例: stam/o
stampf	# PEJVO例: stampf/i
status	# PEJVO例: status/o
stau^d	# PEJVO例: stau^d/o
stau^l	# PEJVO例: stau^l/a angul/o
stereo	# PEJVO例: stereo/skop/i/o
stereofon	# PEJVO例: stereofon/o
steto	# PEJVO例: steto/skop/i
stilb	# PEJVO例: stilb/o
stirak	# PEJVO例: stirak/o
stomakit	# PEJVO例: stomakit/o
stor	# PEJVO例: stor/o
str.	# PEJVO例: str.
stratokumulus	# PEJVO例: stratokumulus/o
strec^	# PEJVO例: strec^/a
streĉ	# PEJVO例: streĉ/ad/o
strobo	# PEJVO例: strobo/skop/a fot/o
stuc	# PEJVO例: stuc/ad/o
stupa	# PEJVO例: stupa/o
sub mar	# PEJVO例: sub mar/nivel/o
sub-	# PEJVO例: sub-
suc^	# PEJVO例: suc^/botel/o
sudan	# PEJVO例: sudan/an/o
sufic^	# PEJVO例: sufic^/a
sufiksoid	# PEJVO例: sufiksoid/o
sufiĉ	# PEJVO例: sufiĉ/ec/o
sukavat	# PEJVO例: sukavat/o
sulfat	# PEJVO例: sulfat/a acid/o
sulfid	# PEJVO例: sulfid/o
sulfit	# PEJVO例: sulfit/o
sumer	# PEJVO例: sumer/o
sumo	# PEJVO例: sumo/ist/o
super mar	# PEJVO例: super mar/nivel/o
super-	# PEJVO例: super-
superpozici	# PEJVO例: superpozici/o
superstic^	# PEJVO例: superstic^/a
sur-	# PEJVO例: sur-
surinam	# PEJVO例: surinam/an/o
sus^i	# PEJVO例: sus^i/ej/o
susceptanc	# PEJVO例: susceptanc/o
susceptibl	# PEJVO例: susceptibl/a
suspensi	# PEJVO例: suspensi/aj^/o
suĉ	# PEJVO例: suĉ/ad/o
svazi	# PEJVO例: svazi/o
t.e.	# PEJVO例: t.e.
t.n.	# PEJVO例: t.n.
t.s.	# PEJVO例: t.s.
ta	# PEJVO例: ta/o/ist/o
tab	# PEJVO例: tab/o
tabi	# PEJVO例: tabi/o
tac^ment	# PEJVO例: tac^ment/i
tag^ik	# PEJVO例: tag^ik/o
tagalog	# PEJVO例: tagalog/a lingv/o
tajvan	# PEJVO例: tajvan/an/o
talib	# PEJVO例: talib/o
tamil	# PEJVO例: tamil/a lingv/o
tamul	# PEJVO例: tamul/o
tang^	# PEJVO例: tang^/ant/o
tanzani	# PEJVO例: tanzani/an/o
tanĝ	# PEJVO例: tanĝ/a
tapis^	# PEJVO例: tapis^/bomb/ad/o
tapiŝ	# PEJVO例: tapiŝ/ist/o
tartrat	# PEJVO例: tartrat/a acid/o
tatagat	# PEJVO例: tatagat/o
tatar	# PEJVO例: tatar/o
tau^g	# PEJVO例: tau^g/a
tau^r	# PEJVO例: tau^r/batal/o
tau^tologi	# PEJVO例: tau^tologi/o
tau^z	# PEJVO例: tau^z/et/i
taŭg	# PEJVO例: taŭg/as
taŭr	# PEJVO例: taŭr/a
taŭz	# PEJVO例: taŭz/ad/o
teh^nik	# PEJVO例: teh^nik/o
tekvond	# PEJVO例: tekvond/o
tele-	# PEJVO例: tele-
teleau^tograf	# PEJVO例: teleau^tograf/i
telefilm	# PEJVO例: telefilm/o
telekomand	# PEJVO例: telekomand/i
telematik	# PEJVO例: telematik/o
televid	# PEJVO例: televid/a
televizi	# PEJVO例: televizi/a
tempur	# PEJVO例: tempur/o
tenno	# PEJVO例: tenno/ism/o
tera-	# PEJVO例: tera-
terabajt	# PEJVO例: terabajt/o
terapeu^tik	# PEJVO例: terapeu^tik/a
teravad	# PEJVO例: teravad/o
teravat	# PEJVO例: teravat/hor/o
terciar	# PEJVO例: terciar/a
tesl	# PEJVO例: tesl/o
tetraon	# PEJVO例: tetraon/o
teu^ton	# PEJVO例: teu^ton/o
teĥnik	# PEJVO例: teĥnik/a
teŭton	# PEJVO例: teŭton/a
ti	# PEJVO例: ti/a/spec/a
tial, c^ar	# PEJVO例: tial, c^ar
tial, ke	# PEJVO例: tial, ke
tibet	# PEJVO例: tibet/an/o
tie kaj ali	# PEJVO例: tie kaj ali/lok/e
tie kaj c^i tie	# PEJVO例: tie kaj c^i tie
tie kaj tie	# PEJVO例: tie kaj tie
tiel nom	# PEJVO例: tiel nom/at/a
tifoid	# PEJVO例: tifoid/o
timpanit	# PEJVO例: timpanit/o
tio c^i	# PEJVO例: tio c^i
tio est	# PEJVO例: tio est/as
tiom mult	# PEJVO例: tiom mult/aj
tiu au^ ali	# PEJVO例: tiu au^ ali/a
tiu c^i	# PEJVO例: tiu c^i
tiu kaj tiu	# PEJVO例: tiu kaj tiu
tjurk	# PEJVO例: tjurk/aj lingv/oj
to	# PEJVO例: to
tofu	# PEJVO例: tofu/o
togol	# PEJVO例: togol/a
togoland	# PEJVO例: togoland/a
tohu	# PEJVO例: tohu/o
toki	# PEJVO例: toki/an/o
toksolog	# PEJVO例: toksolog/o
toksologi	# PEJVO例: toksologi/o
tomahau^k	# PEJVO例: tomahau^k/o
tong	# PEJVO例: tong/a
tonsilit	# PEJVO例: tonsilit/o
torc^	# PEJVO例: torc^/a procesi/o
toric^el	# PEJVO例: toric^el/a vaku/o
tortilj	# PEJVO例: tortilj/o
torĉ	# PEJVO例: torĉ/a
toskan	# PEJVO例: toskan/o
tou^fu	# PEJVO例: tou^fu/o
tra la fenestr	# PEJVO例: tra la fenestr/o
tra la mond	# PEJVO例: tra la mond/o
tra la nokt	# PEJVO例: tra la nokt/o
tra-	# PEJVO例: tra-
traduk-program	# PEJVO例: traduk-program/o
trah^e	# PEJVO例: trah^e/o
trah^eit	# PEJVO例: trah^eit/o
trah^eotomi	# PEJVO例: trah^eotomi/o
trakeit	# PEJVO例: trakeit/o
trakeotomi	# PEJVO例: trakeotomi/o
tranc^	# PEJVO例: tranc^/a
tranc^e	# PEJVO例: tranc^e/o
trans-	# PEJVO例: trans-
transformator	# PEJVO例: transformator/o
transmutaci	# PEJVO例: transmutaci/i
tranĉ	# PEJVO例: tranĉ/as
trap	# PEJVO例: trap/an/o
trapezoid	# PEJVO例: trapezoid/o
trau^b	# PEJVO例: trau^b/o
trau^m	# PEJVO例: trau^m/o
trau^mat	# PEJVO例: trau^mat/a
tri juvel	# PEJVO例: tri juvel/oj
tri mil	# PEJVO例: tri mil
tri primar	# PEJVO例: tri primar/aj kolor/oj
trias	# PEJVO例: trias/o
trih^in	# PEJVO例: trih^in/o
trikosant	# PEJVO例: trikosant/o
tripitak	# PEJVO例: tripitak/ul/o
triton	# PEJVO例: triton/o
tro-	# PEJVO例: tro-
trocki	# PEJVO例: trocki/ism/o
trofi	# PEJVO例: trofi/a nivel/o
troj	# PEJVO例: troj/an/o
tromboz	# PEJVO例: tromboz/o
trubadur	# PEJVO例: trubadur/o
tuareg	# PEJVO例: tuareg/o
tuberkulin	# PEJVO例: tuberkulin/a ekzamen/o
tuberkuloz	# PEJVO例: tuberkuloz/o
tuc^	# PEJVO例: tuc^/ad/o
tuj antau^	# PEJVO例: tuj antau^
tuj apud	# PEJVO例: tuj apud
tuj kiam	# PEJVO例: tuj kiam
tunizi	# PEJVO例: tunizi/an/o
turbul	# PEJVO例: turbul/a
turnir	# PEJVO例: turnir/i
tus^	# PEJVO例: tus^/ad/o
tut-	# PEJVO例: tut-
u-mod	# PEJVO例: u-mod/o
u^a	# PEJVO例: u^a
u^at	# PEJVO例: u^at/o
u^o	# PEJVO例: u^o
u^on	# PEJVO例: u^on/o
ukij	# PEJVO例: ukij/ist/o
ukrajn	# PEJVO例: ukrajn/an/o
ulamban	# PEJVO例: ulamban/o
ultra-	# PEJVO例: ultra-
umbelac	# PEJVO例: umbelac/oj
umbelifer	# PEJVO例: umbelifer/oj
undin	# PEJVO例: undin/o
unit	# PEJVO例: unit/a vektor/o
unu foj	# PEJVO例: unu foj/on por c^iam
unu la ali	# PEJVO例: unu la ali/an
unu post ali	# PEJVO例: unu post ali/a
urdu	# PEJVO例: urdu/a
ureat	# PEJVO例: ureat/a acid/o
urg^	# PEJVO例: urg^/a
urugvaj	# PEJVO例: urugvaj/an/o
uruŝi	# PEJVO例: uruŝi/i
urĝ	# PEJVO例: urĝ/ist/oj
us-mod	# PEJVO例: us-mod/o
uskl	# PEJVO例: uskl/ec/ignor/e
uson	# PEJVO例: uson/a
uzurpator	# PEJVO例: uzurpator/o
vac^	# PEJVO例: vac^/i
vaginism	# PEJVO例: vaginism/o
vaginit	# PEJVO例: vaginit/o
vajc	# PEJVO例: vajc/o
valah^	# PEJVO例: valah^/o
vareng	# PEJVO例: vareng/o
varsovi	# PEJVO例: varsovi/a
vasabi	# PEJVO例: vasabi/o
vatikan	# PEJVO例: vatikan/a
vav	# PEJVO例: vav/o
vd.	# PEJVO例: vd.
ve al	# PEJVO例: ve al
veber	# PEJVO例: veber/o
vegan	# PEJVO例: vegan/ism/o
vegetalin	# PEJVO例: vegetalin/o
vejnit	# PEJVO例: vejnit/o
venezuel	# PEJVO例: venezuel/an/o
veng^	# PEJVO例: veng^/a
venial	# PEJVO例: venial/a
venus	# PEJVO例: venus/har/a adiant/o
venĝ	# PEJVO例: venĝ/ad/o
vermic^el	# PEJVO例: vermic^el/o
vermiĉel	# PEJVO例: vermiĉel/oj
vers^	# PEJVO例: vers^/ad/o
vertig^	# PEJVO例: vertig^/i
vertiĝ	# PEJVO例: vertiĝ/o/don/a
verŝ	# PEJVO例: verŝ/ist/o
ves^t	# PEJVO例: ves^t/o
vesel	# PEJVO例: vesel/kapitan/o
vic-	# PEJVO例: vic-
viki	# PEJVO例: viki/o
vikipedi	# PEJVO例: vikipedi/ist/o
vilag^	# PEJVO例: vilag^/a
vinc^	# PEJVO例: vinc^/o
vinĉ	# PEJVO例: vinĉ/estr/o
violent	# PEJVO例: violent/a
violonc^el	# PEJVO例: violonc^el/i
violonĉel	# PEJVO例: violonĉel/uj/o
vir-	# PEJVO例: vir-
virulent	# PEJVO例: virulent/a
vis^	# PEJVO例: vis^/i
vistari	# PEJVO例: vistari/o
vizag^	# PEJVO例: vizag^/a
vizaĝ	# PEJVO例: vizaĝ/aĉ/o
viŝ	# PEJVO例: viŝ/ad/o
vo	# PEJVO例: vo
voc^	# PEJVO例: voc^/a
vojag^	# PEJVO例: vojag^/a
vojaĝ	# PEJVO例: vojaĝ/il/ar/o
vol.	# PEJVO例: vol.
volta	# PEJVO例: volta/a
vorcestr	# PEJVO例: vorcestr/a sau^c/o
zambi	# PEJVO例: zambi/an/o
zantoksil	# PEJVO例: zantoksil/o
zeŭgm	# PEJVO例: zeŭgm/o
zo	# PEJVO例: zo
zoogeografi	# PEJVO例: zoogeografi/o
zori	# PEJVO例: zori/o
zoroastr	# PEJVO例: zoroastr/ism/o
ĉaled	# PEJVO例: ĉaled/o
ĉampan	# PEJVO例: ĉampan/ig/i
ĉampinjon	# PEJVO例: ĉampinjon/o
ĉant	# PEJVO例: ĉant/i
ĉap	# PEJVO例: ĉap/et/o
ĉapel	# PEJVO例: ĉapel/ist/in/o
ĉardaŝ	# PEJVO例: ĉardaŝ/o
ĉarm	# PEJVO例: ĉarm/aĵ/o
ĉart	# PEJVO例: ĉart/ar/o
ĉast	# PEJVO例: ĉast/i
ĉatni	# PEJVO例: ĉatni/o
ĉatobriand	# PEJVO例: ĉatobriand/o
ĉek	# PEJVO例: ĉek/ar/o
ĉel	# PEJVO例: ĉel/a
ĉen	# PEJVO例: ĉen/et/o
ĉeriz	# PEJVO例: ĉeriz/ej/o
ĉeval	# PEJVO例: ĉeval/a
ĉiel	# PEJVO例: ĉiel/an/o
ĉifon	# PEJVO例: ĉifon/ar/o
ĉifĉaf	# PEJVO例: ĉifĉaf/o
ĉik	# PEJVO例: ĉik/o
ĉin	# PEJVO例: ĉin/o/log/o
ĉinĉil	# PEJVO例: ĉinĉil/o
ĉir	# PEJVO例: ĉir/o
ĉiz	# PEJVO例: ĉiz/ad/o
ĉizoj	# PEJVO例: ĉizoj/i
ĉiĉeron	# PEJVO例: ĉiĉeron/i
ĉokolad	# PEJVO例: ĉokolad/aĵ/o
ĉuk	# PEJVO例: ĉuk/o
ĉur	# PEJVO例: ĉur/i
ĝarden	# PEJVO例: ĝarden/i
ĝaz	# PEJVO例: ĝaz/o
ĝel	# PEJVO例: ĝel/ig/i
ĝem	# PEJVO例: ĝem/a
ĝemel	# PEJVO例: ĝemel/ig/i
ĝen	# PEJVO例: ĝen/ad/o
ĝeneral	# PEJVO例: ĝeneral/aĵ/o
ĝerm	# PEJVO例: ĝerm/ing/o
ĝerman	# PEJVO例: ĝerman/a
ĝib	# PEJVO例: ĝib/a
ĝigol	# PEJVO例: ĝigol/o
ĝimkan	# PEJVO例: ĝimkan/o
ĝir	# PEJVO例: ĝir/ebl/a
ĝis	# PEJVO例: ĝis/i
ĝu	# PEJVO例: ĝu/a
ĝust	# PEJVO例: ĝust/ig/a
ĥalde	# PEJVO例: ĥalde/a
ĥan	# PEJVO例: ĥan/ec/o
ĥaradri	# PEJVO例: ĥaradri/o
ĥeloni	# PEJVO例: ĥeloni/o
ĥimer	# PEJVO例: ĥimer/o/form/aj
ĥiton	# PEJVO例: ĥiton/o
ĥoler	# PEJVO例: ĥoler/a
ĥomer	# PEJVO例: ĥomer/o
ĥor	# PEJVO例: ĥor/a
ĥoral	# PEJVO例: ĥoral/o
ĵet	# PEJVO例: ĵet/ad/i
ĵur	# PEJVO例: ĵur/ad/i
ĵurnal	# PEJVO例: ĵurnal/ist/ik/o
ŝaf	# PEJVO例: ŝaf/a
ŝaft	# PEJVO例: ŝaft/ing/o
ŝajn	# PEJVO例: ŝajn/ig/ad/o
ŝak	# PEJVO例: ŝak/oj
ŝalt	# PEJVO例: ŝalt/ej/o
ŝamisen	# PEJVO例: ŝamisen/o
ŝampinjon	# PEJVO例: ŝampinjon/o
ŝancel	# PEJVO例: ŝancel/iĝ/o
ŝanĝ	# PEJVO例: ŝanĝ/ad/o
ŝark	# PEJVO例: ŝark/oj
ŝarĝ	# PEJVO例: ŝarĝ/ad/o
ŝat	# PEJVO例: ŝat/eg/i
ŝaŭm	# PEJVO例: ŝaŭm/aĵ/o
ŝel	# PEJVO例: ŝel/a
ŝer	# PEJVO例: ŝer/o
ŝik	# PEJVO例: ŝik/i
